angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
0.03,0.0,0.024,0.001,0.347,0.0,99.599,neutral
0.453,0.0,0.275,0.02,8.64,0.001,90.612,neutral
1.194,0.0,25.111,0.225,31.917,0.004,41.549,neutral
1.762,0.0,19.171,0.143,24.008,0.0,54.915,neutral
4.059,0.0,46.502,0.098,14.491,0.03,34.82,fear
1.182,0.0,17.717,0.109,15.132,0.004,65.854,neutral
0.615,0.0,0.0,97.992,0.219,0.0,1.174,happy
0.421,0.0,0.0,98.695,0.313,0.0,0.57,happy
0.204,0.0,1.557,0.269,0.499,0.002,97.47,neutral
0.045,0.0,1.509,0.202,0.758,0.0,97.485,neutral
0.934,0.0,4.065,0.128,24.313,0.0,70.56,neutral
2.659,0.0,2.805,0.027,80.817,0.0,13.692,sad
4.079,0.0,2.149,0.012,86.271,0.0,7.489,sad
22.719,0.0,0.939,0.047,56.612,0.0,19.683,sad
